"","age","renta","clients3clusters.cluster"
"95",28,68317.89,2
"96",26,110388.366726524,1
"97",42,273160.47,3
"98",46,45137.91,4
"99",31,128300.19,1
"100",48,108803.76,1
"101",26,75771.03,2
"102",55,136544.37,1
"103",28,110388.366726524,1
"104",32,50188.44,4
"105",23,110388.366726524,1
"106",40,152453.04,1
"107",42,110388.366726524,1
"108",47,32358.27,4
"109",24,81955.65,2
"110",24,70775.58,2
"111",45,129814.05,1
"112",23,82489.77,2
"113",39,86925.33,2
"114",24,75285.24,2
"115",42,110388.366726524,1
"116",41,110388.366726524,1
"117",28,110388.366726524,1
"118",91,110388.366726524,1
"119",41,77845.71,2
"120",61,110388.366726524,1
"121",25,139957.65,1
"122",29,86431.77,2
"123",59,64033.71,4
"124",62,231198.72,3
"125",43,158115.81,1
"126",81,94246.29,2
"127",56,110388.366726524,1
"128",45,110388.366726524,1
"129",73,95240.88,2
"130",101,101343.54,1
"131",42,81162.57,2
"132",45,69481.14,2
"133",37,110388.366726524,1
"134",63,130815.24,1
"135",32,110388.366726524,1
"136",44,110388.366726524,1
"137",23,26123.07,4
"138",52,54419.79,4
"139",40,214419.42,3
"140",51,82667.67,2
"141",66,110388.366726524,1
"142",19,136785.06,1
"143",50,119442.03,1
"144",53,144687.18,1
"145",23,137202.87,1
"146",24,110388.366726524,1
"147",35,95111.37,2
"148",21,44186.25,4
"149",38,155890.8,1
"150",20,110388.366726524,1
"151",32,110388.366726524,1
"152",55,195329.88,3
"153",21,141743.1,1
"154",24,161160.93,1
"155",47,66730.47,2
"156",50,123356.43,1
"157",66,231634.44,3
"158",28,110388.366726524,1
"159",42,102982.5,1
"160",26,43425,4
"161",62,110388.366726524,1
"162",61,110388.366726524,1
"163",65,110388.366726524,1
"164",64,223908.75,3
"165",42,67964.85,2
"166",55,126182.79,1
"167",41,110388.366726524,1
"168",58,110388.366726524,1
"169",22,165273.6,3
"170",8,130371.75,1
"171",50,130541.88,1
"172",52,110388.366726524,1
"173",36,114621.6,1
"174",45,110388.366726524,1
"175",22,21120.3,4
"176",24,34214.52,4
"177",36,54336.51,4
"178",52,202893.72,3
"179",69,137129.07,1
"180",48,46858.98,4
"181",22,110388.366726524,1
"182",39,110388.366726524,1
"183",11,105949.29,1
"184",56,71881.95,2
"185",48,110388.366726524,1
"186",20,68070.03,2
"187",23,161930.31,1
"188",50,114581.37,1
"189",26,110388.366726524,1
"190",29,27662.94,4
"191",55,110388.366726524,1
"192",20,93673.17,2
"193",28,92942.52,2
"194",49,110388.366726524,1
"195",22,100804.23,1
"196",22,112960.2,1
"197",44,110388.366726524,1
"198",43,110388.366726524,1
"199",54,164275.65,3
"200",23,123395.19,1
"201",35,106194.39,1
"202",11,169443.99,3
"203",41,78176.97,2
"204",22,110934.21,1
"205",46,110388.366726524,1
"206",23,110388.366726524,1
"207",68,110121.54,1
"208",30,110388.366726524,1
"209",24,183182.91,3
"210",24,185958.24,3
"211",74,110388.366726524,1
"212",22,201882.75,3
"213",23,142721.55,1
"214",42,110388.366726524,1
"215",26,110388.366726524,1
"216",26,88410.51,2
"217",86,110388.366726524,1
"218",44,95252.7,2
"219",48,110388.366726524,1
"220",23,132490.32,1
"221",51,112053.39,1
"222",76,110388.366726524,1
"223",21,146580,1
"224",85,121994.49,1
"225",28,74357.88,2
"226",46,190306.83,3
"227",34,107075.97,1
"228",21,69679.44,2
"229",24,110388.366726524,1
"230",54,106692.51,1
"231",26,80309.25,2
"232",48,126754.08,1
"233",33,68709.27,2
"234",24,68568,2
"235",27,110388.366726524,1
"236",21,112070.61,1
"237",28,110388.366726524,1
"238",31,192555.6,3
"239",57,139491,1
"240",20,110388.366726524,1
"241",32,94271.52,2
"242",45,74968.83,2
"243",39,134009.19,1
"244",56,81386.82,2
"245",61,110388.366726524,1
"246",42,164953.89,3
"247",32,75621.33,2
"248",44,56114.07,4
"249",51,128315.19,1
"250",35,62744.88,4
"251",22,70762.44,2
"252",53,110388.366726524,1
"253",35,67257.87,2
"254",23,110388.366726524,1
"255",21,110388.366726524,1
"256",43,79802.25,2
"257",27,107002.92,1
"258",33,168980.97,3
"259",21,76346.16,2
"260",57,110388.366726524,1
"261",90,56428.53,4
"262",40,53902.98,4
"263",51,210149.61,3
"264",58,183018.12,3
"265",25,54200.4,4
"266",31,110388.366726524,1
"267",43,69166.65,2
"268",25,43846.14,4
"269",44,112612.53,1
"270",38,110388.366726524,1
"271",32,99623.16,2
"272",34,110388.366726524,1
"273",65,163170.78,1
"274",25,87004.32,2
"275",37,109595.82,1
"276",23,31330.62,4
"277",27,51144.96,4
"278",23,82398.27,2
"279",24,74356.77,2
"280",72,59313.81,4
"281",68,81510.09,2
"282",30,69295.02,2
"283",36,144222.36,1
"284",45,23400.06,4
"285",23,109489.38,1
"286",23,110388.366726524,1
"287",25,84229.17,2
"288",42,99990.81,2
"289",79,221866.02,3
"290",50,207846.45,3
"291",69,167843.16,3
"292",23,39803.55,4
"293",26,70451.43,2
"294",67,168338.31,3
"295",42,49772.28,4
"296",72,67971.06,2
"297",20,110388.366726524,1
"298",23,102565.08,1
"299",24,110388.366726524,1
"300",27,77351.37,2
"301",46,34466.28,4
"302",72,188812.17,3
"303",49,110388.366726524,1
"304",59,197439.81,3
"305",37,172669.35,3
"306",24,74651.4,2
"307",40,80545.98,2
"308",61,124950.75,1
"309",33,85686,2
"310",25,47471.4,4
"311",43,204979.11,3
"312",36,110388.366726524,1
"313",54,47550.39,4
"314",43,218922.06,3
"315",57,110388.366726524,1
"316",7,108108.18,1
"317",25,63199.32,4
"318",40,84622.47,2
"319",48,110388.366726524,1
"320",21,164914.98,3
"321",47,23879.07,4
"322",53,110388.366726524,1
"323",26,105016.71,1
"324",20,94184.58,2
"325",21,141803.13,1
"326",22,110388.366726524,1
"327",20,110388.366726524,1
"328",42,83852.55,2
"329",27,48347.19,4
"330",20,110388.366726524,1
"331",25,63867.6,4
"332",96,110388.366726524,1
"333",25,280699.62,3
"334",33,110388.366726524,1
"335",46,78531.96,2
"336",43,162543.69,1
"337",37,110388.366726524,1
"338",59,89411.76,2
"339",54,75001.26,2
"340",49,63575.49,4
"341",21,62200.92,4
"342",52,110388.366726524,1
"343",43,91587.03,2
"344",23,110388.366726524,1
"345",41,128768.4,1
"346",21,110388.366726524,1
"347",35,75633.99,2
"348",56,208417.68,3
"349",58,94140.03,2
"350",56,110388.366726524,1
"351",22,156097.2,1
"352",43,103573.74,1
"353",62,109296.06,1
"354",41,73682.58,2
"355",54,75773.4,2
"356",40,31837.68,4
"357",23,67019.19,2
"358",28,110388.366726524,1
"359",43,110388.366726524,1
"360",45,110388.366726524,1
"361",20,110388.366726524,1
"362",46,101497.29,1
"363",57,123932.58,1
"364",44,58708.89,4
"365",25,73393.14,2
"366",64,110388.366726524,1
"367",22,64954.2,4
"368",20,142430.13,1
"369",41,39384.48,4
"370",23,125173.68,1
"371",52,50424.57,4
"372",25,46655.82,4
"373",40,110388.366726524,1
"374",28,110388.366726524,1
"375",29,110388.366726524,1
"376",9,255441.69,3
"377",23,28560,4
"378",40,232608.27,3
"379",56,123480.3,1
"380",59,282204.03,3
"381",49,110388.366726524,1
"382",71,164656.2,3
"383",40,130887.6,1
"384",45,76475.97,2
"385",61,109002.51,1
"386",32,110388.366726524,1
"387",23,42529.05,4
"388",30,110388.366726524,1
"389",54,177044.82,3
"390",38,35818.02,4
"391",43,60043.29,4
"392",57,60892.83,4
"393",67,166734.33,3
"394",55,110388.366726524,1
"395",45,110388.366726524,1
"396",47,110388.366726524,1
"397",56,143789.49,1
"398",43,86033.88,2
"399",23,122934.81,1
"400",52,80171.79,2
"401",40,76989.57,2
"402",47,110388.366726524,1
"403",60,110388.366726524,1
"404",44,110388.366726524,1
"405",25,79639.17,2
"406",96,108845.76,1
"407",50,82482.09,2
"408",45,193033.65,3
"409",46,92108.7,2
"410",25,43805.4,4
"411",40,58768.71,4
"412",57,123953.55,1
"413",58,246747.06,3
"414",74,110388.366726524,1
"415",45,110388.366726524,1
"416",28,177981.57,3
"417",34,59331.96,4
"418",24,111757.29,1
"419",37,47136.09,4
"420",42,87025.29,2
"421",22,58175.85,4
"422",68,128708.25,1
"423",64,110388.366726524,1
"424",42,137371.44,1
"425",25,110388.366726524,1
"426",23,60675.39,4
"427",44,138992.25,1
"428",24,53121.12,4
"429",42,110388.366726524,1
"430",51,198714.39,3
"431",21,127883.04,1
"432",40,110388.366726524,1
"433",44,123186.63,1
"434",74,46574.28,4
"435",3,238525.59,3
"436",44,212565.03,3
"437",22,51762.9,4
"438",23,110388.366726524,1
"439",63,56722.14,4
"440",21,78693.09,2
"441",34,52737.6,4
"442",41,135007.29,1
"443",52,181497.09,3
"444",25,48879.12,4
"445",39,98762.43,2
"446",31,69461.1,2
"447",69,78941.58,2
"448",47,110388.366726524,1
"449",50,110388.366726524,1
"450",29,110388.366726524,1
"451",29,110388.366726524,1
"452",37,108682.11,1
"453",25,110388.366726524,1
"454",24,180344.58,3
"455",67,113283.78,1
"456",22,110388.366726524,1
"457",56,71788.98,2
"458",60,66489.96,2
"459",46,79952.58,2
"460",52,92844.72,2
"461",53,75454.65,2
"462",58,192108.6,3
"463",29,110388.366726524,1
"464",61,110388.366726524,1
"465",57,110388.366726524,1
"466",53,252342.51,3
"467",32,110388.366726524,1
"468",20,67076.19,2
"469",24,218408.22,3
"470",27,35235.99,4
"471",39,66852.81,2
"472",40,149602.53,1
"473",56,126893.13,1
"474",80,72651.57,2
"475",86,110388.366726524,1
"476",43,101205.42,1
"477",35,102000.09,1
"478",27,139606.74,1
"479",71,123254.22,1
"480",37,95123.67,2
"481",20,110388.366726524,1
"482",24,110388.366726524,1
"483",55,85142.91,2
"484",32,110388.366726524,1
"485",38,192255.24,3
"486",41,41217.51,4
"487",20,110388.366726524,1
"488",21,110388.366726524,1
"489",71,110388.366726524,1
"490",59,110388.366726524,1
"491",23,167148.18,3
"492",62,110388.366726524,1
"493",48,44990.22,4
"494",55,110388.366726524,1
"495",42,110388.366726524,1
"496",60,110388.366726524,1
"497",39,110388.366726524,1
"498",40,110388.366726524,1
"499",44,109700.01,1
"500",25,56373.63,4
"501",14,124068.78,1
"502",30,135351.66,1
"503",39,262250.16,3
"504",41,110388.366726524,1
"505",25,32496.63,4
"506",56,122211.66,1
"507",42,110388.366726524,1
"508",44,81279.42,2
"509",40,110388.366726524,1
"510",43,110388.366726524,1
"511",73,134349.06,1
"512",20,42119.34,4
"513",77,199011.66,3
"514",40,233509.8,3
"515",41,110388.366726524,1
"516",49,110185.44,1
"517",52,220148.91,3
"518",71,150453.9,1
"519",53,110388.366726524,1
"520",21,110388.366726524,1
"521",22,110388.366726524,1
"522",40,100269.72,1
"523",42,156505.35,1
"524",22,110388.366726524,1
"525",55,111696.06,1
"526",20,110388.366726524,1
"527",33,61640.85,4
"528",23,177053.31,3
"529",45,120200.46,1
"530",53,47187.57,4
"531",25,21949.26,4
"532",33,125685.9,1
"533",68,95786.7,2
"534",58,115817.58,1
"535",63,105888.72,1
"536",26,54651.36,4
"537",22,94132.41,2
"538",17,125111.7,1
"539",58,83515.65,2
"540",21,128616.9,1
"541",23,64721.61,4
"542",69,136898.07,1
"543",41,48384.39,4
"544",46,110388.366726524,1
"545",24,110388.366726524,1
"546",53,110388.366726524,1
"547",31,110388.366726524,1
"548",44,103765.59,1
"549",46,99524.88,2
"550",22,110388.366726524,1
"551",39,46573.29,4
"552",29,62457.36,4
"553",13,173460.75,3
"554",63,110388.366726524,1
"555",24,67427.22,2
"556",47,122684.58,1
"557",20,78192.57,2
"558",24,73390.29,2
"559",64,130662.78,1
"560",48,105674.67,1
"561",27,154690.65,1
"562",21,82572.03,2
"563",22,218576.16,3
"564",23,94144.53,2
"565",36,157090.98,1
"566",24,110388.366726524,1
"567",20,101191.71,1
"568",23,110388.366726524,1
"569",20,110388.366726524,1
"570",20,110388.366726524,1
"571",54,40178.1,4
"572",50,69349.86,2
"573",41,110388.366726524,1
"574",32,75480.39,2
"575",35,110388.366726524,1
"576",34,80643.06,2
"577",64,129910.53,1
"578",74,118617.87,1
"579",24,110388.366726524,1
"580",51,110388.366726524,1
"581",29,110388.366726524,1
"582",11,140639.46,1
"583",42,110388.366726524,1
"584",27,120204.45,1
"585",23,140543.76,1
"586",38,110388.366726524,1
"587",52,78617.52,2
"588",43,104145.18,1
"589",20,84522.12,2
"590",50,279238.8,3
"591",54,122467.47,1
"592",38,126174.36,1
"593",22,110388.366726524,1
"594",51,110388.366726524,1
"595",32,110388.366726524,1
"596",22,41140.08,4
"597",21,100843.08,1
"598",34,57270,4
"599",28,99698.73,2
"600",61,49791.69,4
"601",55,110388.366726524,1
"602",47,103552.98,1
"603",21,187512.93,3
"604",22,194477.13,3
"605",40,110388.366726524,1
"606",54,252522.21,3
"607",28,67776.3,2
"608",18,110388.366726524,1
"609",45,239821.32,3
"610",39,126865.68,1
"611",64,123328.62,1
"612",41,34714.29,4
"613",40,155925,1
"614",40,111628.53,1
"615",68,110388.366726524,1
"616",24,141813,1
"617",22,102456.93,1
"618",51,196728.06,3
"619",24,52538.73,4
"620",40,102457.56,1
"621",23,110388.366726524,1
"622",59,98323.44,2
"623",25,174609.03,3
"624",29,76156.38,2
"625",21,112926,1
"626",36,43889.13,4
"627",47,158631.09,1
"628",41,110388.366726524,1
"629",41,57757.32,4
"630",63,97968.09,2
"631",23,147615.27,1
"632",56,121529.52,1
"633",20,110388.366726524,1
"634",23,74895.3,2
"635",46,134802.45,1
"636",32,144359.4,1
"637",52,178946.52,3
"638",23,69859.74,2
"639",48,110388.366726524,1
"640",22,41140.08,4
"641",35,69232.59,2
"642",20,78741.87,2
"643",23,110388.366726524,1
"644",19,90049.98,2
"645",27,82945.11,2
"646",42,120746.13,1
"647",41,157293.03,1
"648",21,92968.41,2
"649",43,110388.366726524,1
"650",61,110388.366726524,1
"651",23,90594.21,2
"652",23,73694.55,2
"653",66,121934.19,1
"654",88,110388.366726524,1
"655",39,81737.7,2
"656",70,54709.56,4
"657",37,110388.366726524,1
"658",22,67955.58,2
"659",57,111519.78,1
"660",21,110388.366726524,1
"661",27,110388.366726524,1
"662",40,72803.19,2
"663",20,110388.366726524,1
"664",75,110388.366726524,1
"665",21,73878.66,2
"666",22,110388.366726524,1
"667",44,98154.57,2
"668",45,75575.64,2
"669",35,110388.366726524,1
"670",21,110388.366726524,1
"671",49,196123.86,3
"672",52,110388.366726524,1
"673",23,197583.03,3
"674",45,69598.95,2
"675",54,155727.66,1
"676",49,79709.55,2
"677",46,108057.99,1
"678",58,157297.83,1
"679",67,61395.21,4
"680",21,78730.74,2
"681",41,46411.29,4
"682",72,129145.05,1
"683",21,110388.366726524,1
"684",83,109612.98,1
"685",21,101485.89,1
"686",53,110388.366726524,1
"687",31,60514.95,4
"688",24,110388.366726524,1
"689",25,110388.366726524,1
"690",38,110388.366726524,1
"691",35,110388.366726524,1
"692",51,208726.92,3
"693",34,110388.366726524,1
"694",69,86021.34,2
"695",20,45135.54,4
"696",35,80078.28,2
"697",63,180139.65,3
"698",33,49948.83,4
"699",62,178969.92,3
"700",47,48982.47,4
"701",44,31849.65,4
"702",26,34611.78,4
"703",24,110388.366726524,1
"704",48,144656.91,1
"705",34,105099.3,1
"706",24,110388.366726524,1
"707",35,110388.366726524,1
"708",20,110388.366726524,1
"709",23,240139.62,3
"710",27,72666.9,2
"711",27,89061.18,2
"712",41,67330.14,2
"713",33,100893.45,1
"714",24,85711.38,2
"715",62,110388.366726524,1
"716",57,110388.366726524,1
"717",49,110388.366726524,1
"718",25,110388.366726524,1
"719",56,238428.27,3
"720",21,63723.57,4
"721",29,103984.29,1
"722",22,110388.366726524,1
"723",25,110388.366726524,1
"724",28,103065.21,1
"725",48,130591.26,1
"726",77,110237.07,1
"727",46,94299.96,2
"728",57,32122.62,4
"729",25,56482.74,4
"730",59,174091.95,3
"731",72,110388.366726524,1
"732",39,110388.366726524,1
"733",44,142976.19,1
"734",24,110388.366726524,1
"735",37,176356.86,3
"736",47,230533.32,3
"737",29,213635.67,3
"738",21,110388.366726524,1
"739",84,110388.366726524,1
"740",63,110388.366726524,1
"741",44,90623.07,2
"742",30,76382.91,2
"743",45,173142.93,3
"744",22,137593.05,1
"745",35,110388.366726524,1
"746",42,110388.366726524,1
"747",44,110388.366726524,1
"748",22,110388.366726524,1
"749",39,49967.04,4
"750",54,62244.99,4
"751",45,73423.62,2
"752",53,109666.32,1
"753",46,178966.26,3
"754",71,110388.366726524,1
"755",40,90628.68,2
"756",24,80307.48,2
"757",60,171472.53,3
"758",74,215190.03,3
"759",47,107164.5,1
"760",23,47179.29,4
"761",23,110388.366726524,1
"762",22,89636.76,2
"763",29,179180.46,3
"764",20,110388.366726524,1
"765",47,68327.82,2
"766",60,110388.366726524,1
"767",44,78585.27,2
"768",61,150458.79,1
"769",45,56916.54,4
"770",61,20010.36,4
"771",28,42781.23,4
"772",23,134748.66,1
"773",21,110388.366726524,1
"774",52,29047.35,4
"775",31,112066.98,1
"776",26,110388.366726524,1
"777",28,110388.366726524,1
"778",36,110388.366726524,1
"779",56,270172.29,3
"780",43,109989.9,1
"781",28,110388.366726524,1
"782",25,202112.13,3
"783",50,65262.09,2
"784",32,78779.43,2
"785",45,178052.01,3
"786",42,110388.366726524,1
"787",45,95784.96,2
"788",50,123899.19,1
"789",43,80377.44,2
"790",52,84302.19,2
"791",55,183980.64,3
"792",44,110388.366726524,1
"793",32,50253.42,4
"794",48,137856.15,1
"795",26,46625.1,4
"796",24,77181.96,2
"797",24,84809.82,2
"798",57,150304.26,1
"799",94,109258.17,1
"800",23,110522.88,1
"801",54,68958.12,2
"802",57,110388.366726524,1
"803",38,149466.93,1
"804",44,56276.34,4
"805",64,98936.67,2
"806",22,65700.27,2
"807",37,74602.92,2
"808",50,112584.15,1
"809",27,76429.29,2
"810",44,137286.63,1
"811",26,262204.92,3
"812",24,110388.366726524,1
"813",29,110388.366726524,1
"814",37,196851.06,3
"815",57,148753.32,1
"816",21,187162.35,3
"817",73,226856.01,3
"818",41,110388.366726524,1
"819",64,110388.366726524,1
"820",54,185420.67,3
"821",33,109658.88,1
"822",24,149648.07,1
"823",21,56304.18,4
"824",40,66988.29,2
"825",26,110388.366726524,1
"826",23,73287.39,2
"827",21,82297.44,2
"828",45,59810.13,4
"829",38,78347.73,2
"830",29,140354.58,1
"831",36,36111.66,4
"832",51,110388.366726524,1
"833",21,110388.366726524,1
"834",32,40274.19,4
"835",30,67077.6,2
"836",26,110388.366726524,1
"837",52,110388.366726524,1
"838",48,107057.49,1
"839",34,101361.27,1
"840",30,81167.07,2
"841",76,128361.39,1
"842",23,110388.366726524,1
"843",43,54010.23,4
"844",52,143119.83,1
"845",87,110388.366726524,1
"846",24,175330.98,3
"847",59,110388.366726524,1
"848",49,101061.12,1
"849",67,228535.35,3
"850",21,236599.17,3
"851",26,97118.88,2
"852",21,110388.366726524,1
"853",23,125357.58,1
"854",12,132227.31,1
"855",58,110388.366726524,1
"856",43,163617.39,1
"857",68,151085.67,1
"858",64,108257.55,1
"859",75,114444.63,1
"860",75,248649.18,3
"861",58,110388.366726524,1
"862",21,105474.72,1
"863",31,214486.14,3
"864",23,55509.93,4
"865",51,115974.57,1
"866",53,146297.94,1
"867",27,110388.366726524,1
"868",25,25721.16,4
"869",30,50780.49,4
"870",21,32425.41,4
"871",67,110388.366726524,1
"872",23,53568.12,4
"873",25,66108.24,2
"874",74,110388.366726524,1
"875",22,92572.02,2
"876",24,38826.24,4
"877",47,125675.85,1
"878",71,213532.65,3
"879",49,99808.98,2
"880",67,181381.68,3
"881",55,63227.1,4
"882",47,225301.08,3
"883",67,111846.03,1
"884",50,211324.68,3
"885",25,39758.13,4
"886",37,248711.52,3
"887",57,101833.65,1
"888",21,110388.366726524,1
"889",33,110388.366726524,1
"890",47,110388.366726524,1
"891",48,181198.68,3
"892",25,138473.55,1
"893",21,110388.366726524,1
"894",67,110388.366726524,1
"895",46,134329.05,1
"896",26,110388.366726524,1
"897",30,58259.94,4
"898",23,110388.366726524,1
"899",51,78140.4,2
"900",64,136646.67,1
"901",25,89067.39,2
"902",20,154184.37,1
"903",33,55454.49,4
"904",95,110388.366726524,1
"905",44,106969.41,1
"906",23,48445.5,4
"907",24,92630.55,2
"908",38,49885.44,4
"909",37,91987.41,2
"910",24,110388.366726524,1
"911",37,134867.43,1
"912",40,110388.366726524,1
"913",51,208471.38,3
"914",28,54627.81,4
"915",40,40618.71,4
"916",49,114166.08,1
"917",53,67236.87,2
"918",22,58184.88,4
"919",43,54766.08,4
"920",23,110388.366726524,1
"921",53,85247.13,2
"922",23,47141.82,4
"923",79,149686.65,1
"924",70,188768.97,3
"925",23,81371.55,2
"926",42,110388.366726524,1
"927",52,93320.73,2
"928",53,127131.39,1
"929",24,68738.97,2
"930",27,110388.366726524,1
"931",21,110388.366726524,1
"932",25,61858.2,4
"933",36,92513.34,2
"934",65,89883,2
"935",21,110388.366726524,1
"936",26,110388.366726524,1
"937",26,110388.366726524,1
"938",26,110388.366726524,1
"939",37,173129.31,3
"940",41,110388.366726524,1
"941",55,179686.02,3
"942",42,156710.52,1
"943",67,196537.68,3
"944",26,110388.366726524,1
"945",50,105759.54,1
"946",70,264469.74,3
"947",28,214309.14,3
"948",23,96387.27,2
"949",21,110388.366726524,1
"950",44,52314.45,4
"951",22,119450.67,1
"952",44,55093.86,4
"953",95,209518.02,3
"954",29,110388.366726524,1
"955",26,196113.15,3
"956",62,107665.71,1
"957",39,93649.08,2
"958",44,110388.366726524,1
"959",45,110388.366726524,1
"960",24,110388.366726524,1
"961",41,29213.85,4
"962",13,165306.57,3
"963",64,124498.29,1
"964",45,172231.41,3
"965",65,86177.88,2
"966",24,120640.26,1
"967",33,117060.81,1
"968",33,110388.366726524,1
"969",24,166202.46,3
"970",23,34900.71,4
"971",50,92227.23,2
"972",21,110388.366726524,1
"973",40,92112.27,2
"974",70,118778.25,1
"975",38,130076.97,1
"976",77,228205.95,3
"977",23,78759.18,2
"978",24,260105.49,3
"979",24,125734.8,1
"980",76,235702.2,3
"981",57,240017.46,3
"982",23,121083.66,1
"983",40,110388.366726524,1
"984",27,118218.45,1
"985",28,184326.45,3
"986",52,238120.47,3
"987",21,51661.68,4
"988",45,90045.15,2
"989",44,57712.44,4
"990",41,110388.366726524,1
"991",24,55717.56,4
"992",50,205290.63,3
"993",49,39549.81,4
"994",27,285378.12,3
"995",30,65703.24,2
"996",36,60520.44,4
"997",56,172043.82,3
"998",22,59520.54,4
"999",40,69572.04,2
"1000",51,179914.62,3
"1001",35,39463.41,4
"1002",56,110388.366726524,1
"1003",51,77951.22,2
"1004",36,110388.366726524,1
"1005",91,50746.17,4
"1006",24,125204.58,1
"1007",36,131348.34,1
"1008",51,110388.366726524,1
"1009",56,109818.03,1
"1010",42,65380.77,2
"1011",53,107614.74,1
"1012",35,110388.366726524,1
"1013",63,136832.94,1
"1014",48,9844.71,4
"1015",24,45761.34,4
"1016",22,110388.366726524,1
"1017",60,88572.75,2
"1018",36,70605.33,2
"1019",34,66704.07,2
"1020",69,251454.36,3
"1021",24,150635.58,1
"1022",51,125502.9,1
"1023",51,69349.86,2
"1024",20,213821.76,3
"1025",43,141130.2,1
"1026",45,33890.1,4
"1027",27,110388.366726524,1
"1028",22,110388.366726524,1
"1029",52,52821.36,4
"1030",48,56266.71,4
"1031",76,174658.02,3
"1032",26,100182.57,1
"1033",29,207837.84,3
"1034",36,110388.366726524,1
"1035",28,179827.62,3
"1036",55,71576.49,2
"1037",23,71022.24,2
"1038",23,57203.79,4
"1039",26,80565.09,2
"1040",37,157759.74,1
"1041",58,102979.5,1
"1042",51,110388.366726524,1
"1043",49,110388.366726524,1
"1044",24,131569.59,1
"1045",67,147409.5,1
"1046",34,110388.366726524,1
"1047",23,87451.38,2
"1048",51,161298.81,1
"1049",44,154523.97,1
"1050",21,56392.59,4
"1051",58,108117.75,1
"1052",10,143375.31,1
"1053",51,115183.02,1
"1054",82,110388.366726524,1
"1055",37,110388.366726524,1
"1056",43,178020.96,3
"1057",53,279601.62,3
"1058",35,110388.366726524,1
"1059",49,218609.91,3
"1060",43,110388.366726524,1
"1061",20,110388.366726524,1
"1062",40,110388.366726524,1
"1063",34,87115.41,2
"1064",21,270127.5,3
"1065",39,196919.76,3
"1066",25,110388.366726524,1
"1067",51,215808.78,3
"1068",22,232197.45,3
"1069",50,72138.81,2
"1070",47,78407.34,2
"1071",47,239618.04,3
"1072",45,157128.27,1
"1073",21,87801.66,2
"1074",26,251761.92,3
"1075",71,111653.85,1
"1076",24,134384.16,1
"1077",41,181992.06,3
"1078",33,253444.23,3
"1079",24,110388.366726524,1
"1080",29,228132.72,3
"1081",75,69734.1,2
"1082",39,64061.07,4
"1083",39,76614.18,2
"1084",50,39953.85,4
"1085",32,110388.366726524,1
"1086",42,94421.13,2
"1087",49,253776.24,3
"1088",39,110388.366726524,1
"1089",21,28873.17,4
"1090",26,98740.65,2
"1091",52,117613.65,1
"1092",47,74856.96,2
"1093",43,207098.73,3
"1094",26,96030.57,2
"1095",44,110388.366726524,1
"1096",35,67072.92,2
"1097",34,137872.29,1
"1098",35,64894.29,4
"1099",21,36217.41,4
"1100",45,149584.38,1
"1101",71,110388.366726524,1
"1102",55,125891.37,1
"1103",52,124865.25,1
"1104",45,241471.47,3
"1105",46,110388.366726524,1
